"OCEAN","REGION","MAJOR_GROUP","ORDER","FAMILY","SPECIES"
"Pacific","Pacific, Northwest","PISCES","PERCOIDEI","CARANGIDAE","RUS"
"Pacific","Pacific, Eastern Central","CRUSTACEA","ANOMURA","GALATHEIDAE","LQL"
"Pacific","Pacific, Eastern Central","CRUSTACEA","NATANTIA","PENAEIDAE","YPS"
"Pacific","Pacific, Eastern Central","INVERTEBRATA AQUATICA","ECHINOIDEA","STRONGYLOCENTROTIDAE","URC"
"Pacific","Pacific, Eastern Central","MOLLUSCA","GASTROPODA","TROCHIDAE","TSH"
"Pacific","Pacific, Eastern Central","PLANTAE AQUATICAE","PLANTAE AQUATICAE MISCELLANEA","","APL"
"Pacific","Pacific, Southeast","PISCES","GADIFORMES","MERLUCCIIDAE","MRG"
"Atlantic","Atlantic, Western Central","PISCES","ELOPIFORMES","ELOPIDAE","LAD"
"Pacific","Pacific, Eastern Central","CRUSTACEA","NATANTIA","PENAEIDAE","CSP"
"Pacific","Pacific, Eastern Central","CRUSTACEA","NATANTIA","PENAEIDAE","PEN"
"Pacific","Pacific, Eastern Central","CRUSTACEA","NATANTIA","PENAEIDAE","BOS"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","LUTJANIDAE","ARQ"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","SCARIDAE","USY"
"","America, South - Inland waters","CRUSTACEA","NATANTIA","PALAEMONIDAE","PRF"
"Atlantic","Atlantic, Eastern Central","PISCES","OPHIDIIFORMES","OPHIDIIDAE","BRD"
"Atlantic","Atlantic, Eastern Central","PISCES","CLUPEIFORMES","CLUPEIDAE","SAE"
"Pacific","Pacific, Northwest","CRUSTACEA","REPTANTIA","PALINURIDAE","LOJ"
"Pacific","Pacific, Northwest","CRUSTACEA","REPTANTIA","SCYLLARIDAE","IBC"
"Pacific","Pacific, Northwest","CRUSTACEA","NATANTIA","PENAEIDAE","KUP"
"Pacific","Pacific, Northwest","CRUSTACEA","NATANTIA","PENAEIDAE","PNV"
"Pacific","Pacific, Eastern Central","PISCES","PERCOIDEI","SERRANIDAE","BSX"
"Pacific","Pacific, Eastern Central","PISCES","CLUPEIFORMES","","CLU"
"Pacific","Pacific, Southeast","PISCES","SILURIFORMES","ARIIDAE","CAX"
"Atlantic","Atlantic, Western Central","PISCES","MUGILIFORMES","MUGILIDAE","MUL"
"Pacific","Pacific, Eastern Central","CRUSTACEA","NATANTIA","","DCP"
"Pacific","Pacific, Eastern Central","MOLLUSCA","GASTROPODA","STROMBIDAE","CON"
"Pacific","Pacific, Eastern Central","MOLLUSCA","BIVALVIA","ARCIDAE","ARK"
"Pacific","Pacific, Southeast","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","SFA"
"Pacific","Pacific, Southeast","CRUSTACEA","REPTANTIA","PALINURIDAE","NUG"
"Pacific","Pacific, Southeast","CRUSTACEA","NATANTIA","PENAEIDAE","WWP"
"Pacific","Pacific, Northwest","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","SFA"
"Indian","Indian Ocean, Western","PISCES","PERCOIDEI","LETHRINIDAE","LTQ"
"Atlantic","Atlantic, Eastern Central","MOLLUSCA","CEPHALOPODA","OCTOPODIDAE","OCC"
"","Africa - Inland waters","AMPHIBIA, REPTILIA","CROCODILIA","CROCODYLIDAE","YUK"
"Pacific","Pacific, Southeast","CRUSTACEA","NATANTIA","PENAEIDAE","TIT"
"Pacific","Pacific, Southeast","CRUSTACEA","NATANTIA","SOLENOCERIDAE","SOK"
"Pacific","Pacific, Southeast","CRUSTACEA","NATANTIA","","DCP"
"Pacific","Pacific, Northwest","CRUSTACEA","NATANTIA","PENAEIDAE","GIT"
"Pacific","Pacific, Northwest","CRUSTACEA","NATANTIA","PENAEIDAE","REP"
"Pacific","Pacific, Northwest","CRUSTACEA","NATANTIA","PENAEIDAE","MET"
"Pacific","Pacific, Eastern Central","PISCES","BELONIFORMES","EXOCOETIDAE","FLY"
"Atlantic","Atlantic, Western Central","PISCES","PERCOIDEI","CENTROPOMIDAE","ROB"
"Pacific","Pacific, Southeast","PISCES","PERCOIDEI","CENTROPOMIDAE","ROB"
"Pacific","Pacific, Southeast","PISCES","PERCOIDEI","SERRANIDAE","GBS"
"","America, North - Inland waters","AMPHIBIA, REPTILIA","CROCODILIA","CROCODYLIDAE","CAI"
"Pacific","Pacific, Southeast","PISCES","PERCOIDEI","CARANGIDAE","TRE"
"Atlantic","Atlantic, Northwest","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","SAI"
