"GLOBAL","YEAR","SPECIES","QUANTITY"
"GLOBAL",1950-01-01,"LOR",2700
"GLOBAL",1950-01-01,"LOT",796
"GLOBAL",1950-01-01,"LOX",0
"GLOBAL",1950-01-01,"LQL",0
"GLOBAL",1950-01-01,"LSJ",0
"GLOBAL",1950-01-01,"LTA",3442
"GLOBAL",1950-01-01,"LTJ",0
"GLOBAL",1950-01-01,"LTN",0
"GLOBAL",1950-01-01,"LTQ",0
"GLOBAL",1950-01-01,"LUH",300
"GLOBAL",1950-01-01,"LUK",0
"GLOBAL",1950-01-01,"LUM",200
"GLOBAL",1950-01-01,"LXS",0
"GLOBAL",1950-01-01,"LXX",0
"GLOBAL",1950-01-01,"LYC",40800
"GLOBAL",1950-01-01,"LZS",0
"GLOBAL",1950-01-01,"MAA",0
"GLOBAL",1950-01-01,"MAB",0
"GLOBAL",1950-01-01,"MAC",116821
"GLOBAL",1950-01-01,"MAK",0
"GLOBAL",1950-01-01,"MAN",0
"GLOBAL",1950-01-01,"MAS",251410
"GLOBAL",1950-01-01,"MAV",0
"GLOBAL",1950-01-01,"MAW",0
"GLOBAL",1950-01-01,"MAX",8200
"GLOBAL",1950-01-01,"MAZ",10600
"GLOBAL",1950-01-01,"MBF",0
"GLOBAL",1950-01-01,"MCC",0
"GLOBAL",1950-01-01,"MCL",2000
"GLOBAL",1950-01-01,"MEG",3700
"GLOBAL",1950-01-01,"MES",6100
"GLOBAL",1950-01-01,"MET",1300
"GLOBAL",1950-01-01,"MEW",0
"GLOBAL",1950-01-01,"MFF",0
"GLOBAL",1950-01-01,"MFX",0
"GLOBAL",1950-01-01,"MGA",0
"GLOBAL",1950-01-01,"MGC",0
"GLOBAL",1950-01-01,"MGR",2300
"GLOBAL",1950-01-01,"MGU",0
"GLOBAL",1950-01-01,"MHA",268083
"GLOBAL",1950-01-01,"MHG",197452
"GLOBAL",1950-01-01,"MHJ",0
"GLOBAL",1950-01-01,"MHS",500
"GLOBAL",1950-01-01,"MIL",21436
"GLOBAL",1950-01-01,"MIW",174
